hs_code,description,mfn_rate
0101210000,"Racerene avlsdyr(Visse varer, der er anført i bilag I til traktaten)",0.0
0101299000,"I andre tilfælde(Visse varer, der er anført i bilag I til traktaten)",0.115
0101300000,"Æsler(Visse varer, der er anført i bilag I til traktaten)",0.077
0101900000,"Andre varer(Visse varer, der er anført i bilag I til traktaten)",0.109
0102211000,"Kvier (hundyr, der endnu aldrig har kælvet)",0.0
0102213000,Køer,0.0
0102219000,Andre varer,0.0
0102290500,Af underslægterne Bibos eller Poephagus(Oksekød),0.0
0102291010,Ungtyre til opfedning,0.102
0102291020,"Kvier, der ikke er bestemt til slagtning, af følgende alpine racer: grå, brun, gul og Pinzgau",0.102
0102291030,"Kvier, der ikke er bestemt til slagtning, af racerne Schwyz og Freiburg",0.102
0102291040,"Kvier, der ikke er bestemt til slagtning, af racen Simmental (broget)",0.102
0102291050,"Tyre, der ikke er bestemt til slagtning, af racerne Simmental (broget), Schwyz og Freiburg",0.102
0102291090,Andre varer,0.102
0102292100,Til slagtning(Oksekød),0.102
0102292910,Ungtyre til opfedning,0.102
0102292920,"Kvier af følgende alpine racer: grå, brun, gul og Pinzgau",0.102
0102292930,Kvier af racerne Schwyz og Freiburg,0.102
0102292940,Kvier af racen Simmental (broget),0.102
0102292950,"Tyre af racerne Simmental (broget), Schwyz og Freiburg",0.102
0102292990,Andre varer,0.102
0102294100,Til slagtning(Oksekød),0.102
0102294910,Ungtyre til opfedning,0.102
0102294920,"Kvier og køer af følgende alpine racer: grå, brun, gul og Pinzgau",0.102
0102294930,Kvier og køer af racerne Schwyz og Freiburg,0.102
0102294940,Kvier og køer af racen Simmental (broget),0.102
0102294950,"Tyre af racerne Simmental (broget), Schwyz og Freiburg",0.102
0102294990,Andre varer,0.102
0102295110,"Kvier, som endnu ikke har fået blivende tænder, af vægt|320|kg og derover, men ikke over|470|kg",0.102
0102295190,Andre varer,0.102
0102295911,"Kvier, som endnu ikke har fået blivende tænder, af vægt|320|kg og derover, men ikke over|470|kg",0.102
0102295919,Andre varer,0.102
0102295921,"Kvier, som endnu ikke har fået blivende tænder, af vægt|320|kg og derover, men ikke over|470|kg",0.102
0102295929,Andre varer,0.102
0102295931,"Kvier, som endnu ikke har fået blivende tænder, af vægt|320|kg og derover, men ikke over|470|kg",0.102
0102295939,Andre varer,0.102
0102295991,"Kvier, som endnu ikke har fået blivende tænder, af vægt|320|kg og derover, men ikke over|470|kg",0.102
0102295999,Andre varer,0.102
