hs_code,area,date_start,date_end,rate,is_quota
0100000000,GB,2021-01-01,,0.0,0
0100000000,VN,2020-08-01,,0.0,0
0101000000,1032,2008-07-01,2014-09-30,0.0,0
0101000000,1032,2014-10-01,,0.0,0
0101000000,1032,2016-07-28,2024-06-30,0.0,0
0101000000,1033,2008-12-29,,0.0,0
0101000000,1034,2012-05-14,,0.0,0
0101000000,1035,2016-10-10,,0.0,0
0101000000,2000,2025-10-03,,0.0,0
0101000000,2005,2012-06-13,,0.0,0
0101000000,2005,2014-01-01,,0.0,0
0101000000,2080,2008-07-01,,0.0,0
0101000000,2080,2014-01-01,2020-12-31,0.0,0
0101000000,2080,2021-01-01,,0.0,0
0101000000,AD,2008-07-01,,0.0,0
0101000000,CI,2019-12-02,,0.0,0
0101000000,CM,2014-08-04,,0.0,0
0101000000,CO,2013-08-01,,0.0,0
0101000000,EH,2019-07-19,2025-10-02,0.0,0
0101000000,FJ,2014-07-28,,0.0,0
0101000000,GE,2014-09-01,,0.0,0
0101000000,GH,2016-12-15,,0.0,0
0101000000,IL,2010-01-01,2023-05-15,0.0,0
0101000000,IL,2023-05-16,,0.0,0
0101000000,IS,2007-03-01,2018-04-30,0.0,0
0101000000,IS,2018-05-01,,0.0,0
0101000000,JO,2008-07-01,,0.0,0
0101000000,KE,2024-07-01,,0.0,0
0101000000,KR,2011-07-01,,0.0,0
0101000000,LB,2008-07-01,,0.0,0
0101000000,MA,2012-10-01,,0.0,0
0101000000,MD,2008-07-01,,0.0,0
0101000000,MD,2016-01-01,,0.0,0
0101000000,MX,2010-07-01,2016-06-30,0.0,0
0101000000,MX,2016-07-01,,0.0,0
0101000000,PG,2009-12-20,,0.0,0
0101000000,SB,2020-05-17,,0.0,0
0101000000,SG,2019-11-21,,0.0,0
0101000000,SM,2008-07-01,,0.0,0
0101000000,TR,1998-01-01,,0.0,0
0101000000,WS,2018-12-31,,0.0,0
0101290000,1006,2017-09-21,,0.0,0
0101290000,2200,2013-08-01,,0.0,0
0101290000,AL,2012-01-01,,0.0,0
