date,consignor_name,origin_country,commodity_code,description,customs_value_dkk,customs_duty,invoice_currency,net_mass,border_mot,inland_mot,cpc,duty_regime_code,shipments
2025-01-26,Actona Company A/S,PK,6303929090,Curtain SILKEBORG sort,19638.25,2356.59,EUR,190.7,1,3,4000000,100,1
2025-04-22,Multi Lines International Co. Ltd.,VN,9404219000,Mattress GULDAGER W152xL203,12846.3,475.31,EUR,203.8,4,4,4000000,100,1
2025-08-04,Multi Lines International Co. Ltd.,CN,9404909000,Duvet 200g HIMMELBJERG 60x63cm,6971.38,257.94,EUR,86.6,1,2,4000000,100,1
2025-12-27,Intex Development Company Ltd,CN,9404219000,Mattress GULDAGER,30760.26,0.0,DKK,552.3,1,3,4000000,300,1
2025-10-05,Multi Lines International Co. Ltd.,CN,7013990090,Glass vase ROMO,49375.68,5431.32,NOK,485.7,3,3,4071000,100,1
2025-09-25,Trade Point A/S,MA,9404909000,Duvet 200g HIMMELBJERG,4607.93,170.49,NOK,50.3,1,3,4071000,100,1
2025-07-11,SourceByNet Pte. Ltd.,PK,9404219000,Pillow KRONBORG,192559.22,0.0,DKK,2330.8,3,3,4000000,300,1
2025-05-23,Multi Lines International Co. Ltd.,CN,6302310000,Bed linen NEXO,15786.02,1894.32,EUR,300.9,1,3,4000000,100,1
2025-03-23,"LetRight Industrial Corp., LTD",CN,9404219000,Pillow KRONBORG,10339.9,382.58,EUR,89.1,3,3,4000000,100,1
2025-10-16,Actona Company A/S,CN,9401300000,Office chair GUDHJEM,297481.17,0.0,EUR,3350.6,1,2,4000000,100,1
2025-01-08,2-Connect ApS,CN,3926909290,Air bed VELOUR DURABEAM,45988.44,2989.25,EUR,518.9,3,3,4000000,100,1
2025-06-08,SourceByNet Pte. Ltd.,VN,6302310000,Bed linen NEXO,31456.46,3774.78,EUR,736.0,1,3,4000000,100,1
2025-03-25,Zolo,CN,3926909290,Air bed VELOUR DURABEAM,7106.67,461.93,USD,80.5,1,3,4000000,100,1
2025-12-17,Trade Point A/S,CN,7013990090,Glass vase ROMO,153695.19,0.0,EUR,1784.4,1,3,4000000,300,1
2025-12-15,SourceByNet Pte. Ltd.,CN,3926909290,Air bed VELOUR DURABEAM grå,18792.18,1221.49,EUR,221.9,1,3,4000000,100,1
2025-12-01,SourceByNet Pte. Ltd.,VN,9404219000,Mattress GULDAGER,100655.54,3724.25,EUR,883.6,1,3,4000000,100,1
2025-11-09,Multi Lines International Co. Ltd.,CN,6301401000,Blanket SKAGEN,15325.87,1839.1,NOK,355.8,1,3,4000000,100,1
2025-12-10,"LetRight Industrial Corp., LTD",CN,9404219000,Mattress GULDAGER 60x63cm,211179.94,0.0,NOK,3244.9,4,3,4000000,300,1
2025-09-13,SourceByNet Pte. Ltd.,VN,9403601000,Bookshelf TAMBOHUSE,22828.39,0.0,DKK,315.3,1,3,4000000,100,1
2025-11-24,Trade Point A/S,CN,7013990090,Glass vase ROMO,62410.52,0.0,NOK,763.6,3,3,4000000,300,1
2025-12-16,Actona Company A/S,CN,9401710000,Dining chair JONSTRUP,1829521.69,0.0,EUR,15944.9,1,3,4071000,100,1
2025-06-22,Unique Furniture A/S,CN,9404219000,Pillow KRONBORG,42593.39,1575.96,USD,653.0,3,3,4071000,100,1
2025-10-19,Unique Furniture A/S,VN,9404219000,Pillow KRONBORG,19340.75,715.61,NOK,203.4,3,3,4000000,100,1
2025-07-17,Intex Development Company Ltd,CN,9401300000,Office chair GUDHJEM,220675.7,0.0,EUR,2100.0,3,3,4000000,100,1
2025-07-07,Multi Lines International Co. Ltd.,CN,9401710000,Dining chair JONSTRUP,13720.26,0.0,NOK,153.4,1,3,4000000,100,1
2025-07-21,Multi Lines International Co. Ltd.,PK,9401790000,Recliner chair STOUBY,22341.12,0.0,NOK,239.9,1,3,4000000,100,1
2025-10-28,ScanCom International A/S,CN,7013990090,Glass vase ROMO,71355.81,0.0,DKK,664.9,1,3,4000000,300,1
2025-06-06,Actona Company A/S,VN,7013990090,Glass vase ROMO,74115.98,8152.76,DKK,622.5,3,3,4000000,100,1
2025-02-16,Multi Lines International Co. Ltd.,UA,7013990090,Glass vase ROMO,2714.15,298.56,NOK,23.6,1,3,4000000,100,1
2025-11-05,"Healthcare Co., LTD",PK,3926909290,Air bed VELOUR DURABEAM,41495.07,2697.18,DKK,440.3,4,3,4000000,100,1
2025-06-16,Trade Point A/S,VN,9404219000,Pillow KRONBORG,22650.05,838.05,DKK,192.1,3,3,4000000,100,1
2025-11-16,Trade Point A/S,CN,7013990090,Glass vase ROMO,7580.73,833.88,NOK,73.4,1,2,4000000,100,1
2025-08-05,Actona Company A/S,PK,7013990090,Glass vase ROMO,70788.9,0.0,EUR,1148.7,4,3,4000000,300,1
2025-02-22,Trade Point A/S,MA,6301401000,Blanket SKAGEN,411.12,49.33,EUR,6.1,1,4,4000000,100,1
2025-05-10,Zolo,CN,9403601000,Bookshelf TAMBOHUSE,38632.69,0.0,EUR,530.6,3,3,4000000,100,1
2025-10-04,Actona Company A/S,CN,9404219000,Pillow KRONBORG grå,8906.67,329.55,NOK,80.6,3,3,4000000,100,1
